threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,brier,average_precision,roc_auc
0.5499999999999999,0.9569611998695794,0.5326481477629637,0.47368421052631576,0.06870229007633588,0.12,0.16827435503345084,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.5549999999999999,0.9569611998695794,0.5326481477629637,0.47368421052631576,0.06870229007633588,0.12,0.16827435503345084,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.5449999999999999,0.9566351483534399,0.5324778480354431,0.45,0.06870229007633588,0.11920529801324503,0.16318479475400377,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.5599999999999999,0.9566351483534399,0.5288313538698338,0.4444444444444444,0.061068702290076333,0.10738255033557047,0.15264892174594333,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.565,0.9566351483534399,0.5288313538698338,0.4444444444444444,0.061068702290076333,0.10738255033557047,0.15264892174594333,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.57,0.9563090968373003,0.5250145599767041,0.4117647058823529,0.05343511450381679,0.0945945945945946,0.13625804594494373,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.575,0.9563090968373003,0.5250145599767041,0.4117647058823529,0.05343511450381679,0.0945945945945946,0.13625804594494373,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.58,0.9563090968373003,0.5250145599767041,0.4117647058823529,0.05343511450381679,0.0945945945945946,0.13625804594494373,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.585,0.9563090968373003,0.5250145599767041,0.4117647058823529,0.05343511450381679,0.0945945945945946,0.13625804594494373,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.59,0.9559830453211607,0.5211977660835743,0.375,0.04580152671755725,0.08163265306122448,0.11900156404482588,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.595,0.9559830453211607,0.5175512719179649,0.35714285714285715,0.03816793893129771,0.06896551724137931,0.10529914475230383,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.6,0.9559830453211607,0.5175512719179649,0.35714285714285715,0.03816793893129771,0.06896551724137931,0.10529914475230383,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.605,0.9559830453211607,0.5175512719179649,0.35714285714285715,0.03816793893129771,0.06896551724137931,0.10529914475230383,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.61,0.9556569938050212,0.5137344780248352,0.3076923076923077,0.030534351145038167,0.05555555555555555,0.08549675576420072,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.6549999999999999,0.9566351483534399,0.5105988830417871,0.375,0.022900763358778626,0.04316546762589928,0.0840367090819959,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.6599999999999999,0.9566351483534399,0.5105988830417871,0.375,0.022900763358778626,0.04316546762589928,0.0840367090819959,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.6399999999999999,0.9563090968373003,0.5104285833142667,0.3333333333333333,0.022900763358778626,0.04285714285714286,0.07797026116954738,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.6449999999999999,0.9563090968373003,0.5104285833142667,0.3333333333333333,0.022900763358778626,0.04285714285714286,0.07797026116954738,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.6499999999999999,0.9563090968373003,0.5104285833142667,0.3333333333333333,0.022900763358778626,0.04285714285714286,0.07797026116954738,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.63,0.9559830453211607,0.5102582835867463,0.3,0.022900763358778626,0.0425531914893617,0.0727730623158277,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.635,0.9559830453211607,0.5102582835867463,0.3,0.022900763358778626,0.0425531914893617,0.0727730623158277,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.615,0.9556569938050212,0.5100879838592258,0.2727272727272727,0.022900763358778626,0.04225352112676056,0.06824565876131848,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.62,0.9556569938050212,0.5100879838592258,0.2727272727272727,0.022900763358778626,0.04225352112676056,0.06824565876131848,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.625,0.9556569938050212,0.5100879838592258,0.2727272727272727,0.022900763358778626,0.04225352112676056,0.06824565876131848,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.6699999999999999,0.9569611998695794,0.5071226886036982,0.4,0.015267175572519083,0.029411764705882353,0.07140029919385672,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.6749999999999999,0.9569611998695794,0.5071226886036982,0.4,0.015267175572519083,0.029411764705882353,0.07140029919385672,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.6799999999999999,0.9569611998695794,0.5071226886036982,0.4,0.015267175572519083,0.029411764705882353,0.07140029919385672,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.6849999999999999,0.9569611998695794,0.5071226886036982,0.4,0.015267175572519083,0.029411764705882353,0.07140029919385672,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.69,0.9569611998695794,0.5071226886036982,0.4,0.015267175572519083,0.029411764705882353,0.07140029919385672,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.6649999999999999,0.9566351483534399,0.5069523888761778,0.3333333333333333,0.015267175572519083,0.029197080291970802,0.06363124712234611,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.695,0.9566351483534399,0.5033058947105684,0.25,0.007633587786259542,0.014814814814814815,0.03704496532928675,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.84,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.845,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.8499999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.8549999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.8599999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.8649999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.8699999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.8749999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.8799999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.8849999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.8899999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.8949999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.8999999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.9049999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.9099999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.9149999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.9199999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.9249999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.9299999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.9349999999999999,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.94,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.945,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.95,0.9572872513857189,0.5,0.0,0.0,0.0,0.0,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.7799999999999999,0.9569611998695794,0.4998297002724796,0.0,0.0,0.0,-0.0038147980059168576,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.7849999999999999,0.9569611998695794,0.4998297002724796,0.0,0.0,0.0,-0.0038147980059168576,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.7899999999999999,0.9569611998695794,0.4998297002724796,0.0,0.0,0.0,-0.0038147980059168576,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.7949999999999999,0.9569611998695794,0.4998297002724796,0.0,0.0,0.0,-0.0038147980059168576,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.7999999999999999,0.9569611998695794,0.4998297002724796,0.0,0.0,0.0,-0.0038147980059168576,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.8049999999999999,0.9569611998695794,0.4998297002724796,0.0,0.0,0.0,-0.0038147980059168576,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.8099999999999999,0.9569611998695794,0.4998297002724796,0.0,0.0,0.0,-0.0038147980059168576,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.815,0.9569611998695794,0.4998297002724796,0.0,0.0,0.0,-0.0038147980059168576,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.82,0.9569611998695794,0.4998297002724796,0.0,0.0,0.0,-0.0038147980059168576,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.825,0.9569611998695794,0.4998297002724796,0.0,0.0,0.0,-0.0038147980059168576,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.83,0.9569611998695794,0.4998297002724796,0.0,0.0,0.0,-0.0038147980059168576,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.835,0.9569611998695794,0.4998297002724796,0.0,0.0,0.0,-0.0038147980059168576,0.03373039724313117,0.31684046237976116,0.9196978284834745
