,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
CR220Q02A,1925.0,4.886233766233766,4.358784782368221,0.0,0.0,1.0,2.0,4.0,7.0,11.0,19.0,66.0
CR220Q02V,1925.0,1.638961038961039,1.2340622038250435,1.0,1.0,1.0,1.0,1.0,2.0,4.0,7.0,12.0
CR220Q02VS,1925.0,0.028051948051948054,0.18589167425066289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
CR220Q04S,1873.0,0.49919914575547253,0.5001328876392904,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
CR220Q04TT,1924.0,59035.68087318087,60552.81896932293,113.0,1244.61,5660.200000000001,29261.0,48449.0,75374.25,139245.94999999984,234966.0999999998,1391147.0
CR220Q04F,1881.0,43322.1504518873,54438.97732928802,2.0,408.60000000000014,2320.0,15085.0,33008.0,57080.0,113635.0,210983.0000000004,1388724.0
CR220Q04A,1924.0,2.9464656964656966,3.461960731953366,0.0,0.0,1.0,1.0,2.0,3.0,9.0,19.0,44.0
CR220Q04V,1924.0,1.3445945945945945,0.819844164061501,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,11.0
CR220Q04VS,1924.0,0.03170478170478171,0.2176148399651716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
CR220Q05S,1867.0,0.7686127477236208,0.42183231393612985,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR220Q05TT,1922.0,38006.42819979188,34674.676397667696,24.0,924.0200000000001,4344.0,17096.75,28245.0,48391.5,101564.39999999989,176065.93999999994,450396.0
CR220Q05F,1876.0,29476.82196162047,30230.651595337557,2.0,40.25,2005.5,11672.25,20694.0,38497.25,82720.75,147088.25,445725.0
CR220Q05A,1922.0,1.989073881373569,1.8975271657810504,0.0,0.0,1.0,1.0,2.0,2.0,5.0,11.0,20.0
CR220Q05V,1922.0,1.211758584807492,0.6193203172665595,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,8.0
CR220Q05VS,1922.0,0.021852237252861603,0.1630688993082152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
CR220Q06S,1868.0,0.5455032119914347,0.49805848385234247,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
