cluster_id,feature,cluster_mean_z,global_mean_z,delta_z,abs_delta_z,direction,size,prevalence
0,CR590Q34TT,-0.052172190013848645,9.822317421827155e-17,-0.05217219001384874,0.05217219001384874,below,3620,0.9441836202399583
0,CR590Q28TT,0.008203007372771956,1.4640812760836702e-16,0.00820300737277181,0.00820300737277181,above,3620,0.9441836202399583
0,CR590Q27TT,-0.06242247347878694,1.2324228463235957e-16,-0.062422473478787065,0.062422473478787065,below,3620,0.9441836202399583
0,CR590Q17TT,-0.002805456553121461,3.89186161996925e-17,-0.0028054565531215,0.0028054565531215,below,3620,0.9441836202399583
0,CR590Q36TT,0.007241715011832237,7.042416264706261e-17,0.0072417150118321665,0.0072417150118321665,above,3620,0.9441836202399583
0,CR590Q31TT,-0.0628298814593489,8.756688644930812e-17,-0.06282988145934898,0.06282988145934898,below,3620,0.9441836202399583
0,CR590Q41TT,-0.0003241136565672053,-8.617693587074767e-17,-0.0003241136565671191,0.0003241136565671191,below,3620,0.9441836202399583
0,CR590Q45TT,4.688263656968974e-05,9.544327306115065e-17,4.6882636569594294e-05,4.6882636569594294e-05,above,3620,0.9441836202399583
0,CR590Q43TT,-0.08032288944590696,6.857089520898202e-17,-0.08032288944590703,0.08032288944590703,below,3620,0.9441836202399583
0,CR590Q49TT,0.006052747829343722,1.1119604628483571e-16,0.006052747829343611,0.006052747829343611,above,3620,0.9441836202399583
0,CR590Q57TT,0.00013986620918836397,-9.266337190402977e-18,0.00013986620918837324,0.00013986620918837324,above,3620,0.9441836202399583
0,CR590Q26S,-0.007798365472051057,8.154376727554618e-17,-0.0077983654720511384,0.0077983654720511384,below,3620,0.9441836202399583
0,CR590Q19S,-0.005468021119877053,8.432366843266708e-17,-0.005468021119877137,0.005468021119877137,below,3620,0.9441836202399583
0,CR590Q09TT,-0.011686001900449444,-3.289549702593056e-17,-0.011686001900449411,0.011686001900449411,below,3620,0.9441836202399583
0,CR590Q21TT,0.005275583831767151,3.3358813885450714e-17,0.005275583831767118,0.005275583831767118,above,3620,0.9441836202399583
0,CR590Q17S,-0.009347858803788208,1.7235387174149535e-16,-0.00934785880378838,0.00934785880378838,below,3620,0.9441836202399583
0,CR590Q24TT,-0.057813384640373604,8.154376727554618e-17,-0.05781338464037369,0.05781338464037369,below,3620,0.9441836202399583
0,CR590Q35TT,-0.0673699866874862,9.266337190402977e-18,-0.06736998668748621,0.06736998668748621,below,3620,0.9441836202399583
0,CR590Q40TT,0.008915519985334183,6.486436033282083e-17,0.008915519985334118,0.008915519985334118,above,3620,0.9441836202399583
0,CR590Q47S,0.005558064494291895,1.547478310797297e-16,0.005558064494291741,0.005558064494291741,above,3620,0.9441836202399583
0,CR590Q02TT,-0.007984265808556363,6.671762777090143e-17,-0.00798426580855643,0.00798426580855643,below,3620,0.9441836202399583
0,CR590Q19TT,0.003104786756718319,4.818495339009547e-17,0.003104786756718271,0.003104786756718271,above,3620,0.9441836202399583
0,CR590Q06TT,-0.05987155730586312,1.1026941256579541e-16,-0.05987155730586323,0.05987155730586323,below,3620,0.9441836202399583
0,CR590Q07TT,-0.053351738811743855,6.486436033282083e-17,-0.05335173881174392,0.05335173881174392,below,3620,0.9441836202399583
0,CR590Q42TT,-0.006593468791906533,1.945930809984625e-17,-0.006593468791906552,0.006593468791906552,below,3620,0.9441836202399583
0,CR590Q39TT,-0.018769768719011114,-1.3899505785604464e-17,-0.0187697687190111,0.0187697687190111,below,3620,0.9441836202399583
0,CR590Q48TT,0.003916873718850107,-7.737391553986485e-17,0.003916873718850184,0.003916873718850184,above,3620,0.9441836202399583
0,CR590Q52TT,-0.07160842937829011,-9.822317421827155e-17,-0.07160842937829001,0.07160842937829001,below,3620,0.9441836202399583
0,CR590Q48S,-0.010850131591312559,1.7884030777477744e-16,-0.010850131591312737,0.010850131591312737,below,3620,0.9441836202399583
