feature,groups,missing_ratio,variance
CR590Q38TT,engajamento_tarefas_criativas,0.6471048513302035,15782531.566555172
CR590Q32TT,engajamento_tarefas_criativas,0.6484089723526343,41934341.36892275
CR590Q35TT,engajamento_tarefas_criativas,0.6531038080333855,8722113.167652214
CR590Q40TT,engajamento_tarefas_criativas,0.6564945226917058,9092843.567898095
CR590Q44TT,engajamento_tarefas_criativas,0.6577986437141367,32673210.250729084
CR590Q42TT,engajamento_tarefas_criativas,0.6585811163275952,16486447.307409888
CR590Q47TT,engajamento_tarefas_criativas,0.6632759520083463,11380008.28254117
CR590Q39TT,engajamento_tarefas_criativas,0.6643192488262911,12199006.016714875
CR590Q41TT,engajamento_tarefas_criativas,0.6645800730307773,19179351.560231734
CR590Q45TT,engajamento_tarefas_criativas,0.6648408972352634,12034332.656109251
CR590Q48TT,engajamento_tarefas_criativas,0.6651017214397497,49451617.71980086
CR590Q43TT,engajamento_tarefas_criativas,0.667188315075639,9444958.305939898
CR590Q46TT,engajamento_tarefas_criativas,0.6703182055294732,41036399.73627461
CR590Q49TT,engajamento_tarefas_criativas,0.6737089201877934,31292892.76796245
CR590Q55TT,engajamento_tarefas_criativas,0.6773604590505999,14613390.824314175
CR590Q50TT,engajamento_tarefas_criativas,0.6786645800730308,1427687197.7178478
CR590Q52TT,engajamento_tarefas_criativas,0.6833594157537819,28500330.954053342
CR590Q56TT,engajamento_tarefas_criativas,0.6844027125717267,44281143.86024793
CR590Q59TT,engajamento_tarefas_criativas,0.6851851851851852,15968813.870554876
CR590Q57TT,engajamento_tarefas_criativas,0.6854460093896714,33233079.54340789
CR590Q26S,engajamento_tarefas_criativas,0.6857068335941575,0.09363061930751881
CR590Q48S,engajamento_tarefas_criativas,0.6859676577986437,0.14721691813556143
CR590Q47S,engajamento_tarefas_criativas,0.6859676577986437,0.10655787463714528
CR590Q51TT,engajamento_tarefas_criativas,0.6864893062076161,18697349.971041054
CR590Q44S,engajamento_tarefas_criativas,0.6867501304121022,0.22665541690556232
CR590Q34S,engajamento_tarefas_criativas,0.6867501304121022,0.06361476454883214
CR590Q65TT,engajamento_tarefas_criativas,0.6888367240479917,18806320.49833585
CR590Q38S,engajamento_tarefas_criativas,0.6896191966614502,0.07836734693877549
CR590Q55S,engajamento_tarefas_criativas,0.6901408450704225,0.11468996927751135
CR590Q37S,engajamento_tarefas_criativas,0.6904016692749088,0.08408275838574164
CR590Q42S,engajamento_tarefas_criativas,0.6911841418883672,0.17603805241051865
CR590Q30S,engajamento_tarefas_criativas,0.6911841418883672,0.10874084071402484
CR590Q63TT,engajamento_tarefas_criativas,0.6917057902973396,179690153.5154646
CR590Q58TT,engajamento_tarefas_criativas,0.692227438706312,8501156.896681271
CR590Q36S,engajamento_tarefas_criativas,0.692227438706312,0.11658934214306232
CR590Q45S,engajamento_tarefas_criativas,0.692227438706312,0.09737072680264293
CR590Q54TT,engajamento_tarefas_criativas,0.6924882629107981,22126882.256694585
CR590Q28S,engajamento_tarefas_criativas,0.6924882629107981,0.08251842931251668
CR590Q25S,engajamento_tarefas_criativas,0.6924882629107981,0.05808317884148741
CR590Q49S,engajamento_tarefas_criativas,0.6930099113197705,0.08333904798066018
CR590Q27S,engajamento_tarefas_criativas,0.6932707355242567,0.12666524943310656
CR590Q53TT,engajamento_tarefas_criativas,0.6935315597287428,11766825.113046627
CR590Q40S,engajamento_tarefas_criativas,0.693792383933229,0.10889546070598342
CR590Q60TT,engajamento_tarefas_criativas,0.6943140323422013,24198864.360705283
CR590Q59S,engajamento_tarefas_criativas,0.6943140323422013,0.0523848559680369
CR590Q62TT,engajamento_tarefas_criativas,0.6945748565466875,13615862.759886846
CR590Q65S,engajamento_tarefas_criativas,0.6945748565466875,0.06658785727672963
CR590Q61TT,engajamento_tarefas_criativas,0.6948356807511737,21521890.11819782
CR590Q33S,engajamento_tarefas_criativas,0.695357329160146,0.0901369569806718
CR590Q29S,engajamento_tarefas_criativas,0.6956181533646323,0.13163334163063214
CR590Q46S,engajamento_tarefas_criativas,0.6956181533646323,0.11009707839625697
CR590Q57S,engajamento_tarefas_criativas,0.6958789775691184,0.2076332273183304
CR590Q56S,engajamento_tarefas_criativas,0.6958789775691184,0.20103989831974556
CR590Q50S,engajamento_tarefas_criativas,0.6971830985915493,0.11122610301345552
CR590Q24S,engajamento_tarefas_criativas,0.6974439227960355,0.07374479785969083
CR590Q63S,engajamento_tarefas_criativas,0.6979655712050078,0.06282047840210475
CR590Q66TT,engajamento_tarefas_criativas,0.698226395409494,28353908.867361046
CR590Q43S,engajamento_tarefas_criativas,0.698226395409494,0.04292387324832723
CR590Q41S,engajamento_tarefas_criativas,0.699791340636411,0.16554184364293206
CR590Q52S,engajamento_tarefas_criativas,0.699791340636411,0.1264944697354546
CR590Q31S,engajamento_tarefas_criativas,0.7000521648408973,0.06622003780718337
CR590Q32S,engajamento_tarefas_criativas,0.7008346374543558,0.1329011887270458
CR590Q62S,engajamento_tarefas_criativas,0.7013562858633281,0.11448599378349004
CR590Q58S,engajamento_tarefas_criativas,0.7013562858633281,0.0938197212105032
CR590Q35S,engajamento_tarefas_criativas,0.7013562858633281,0.04965580366507121
CR590Q61S,engajamento_tarefas_criativas,0.702660406885759,0.07271468144044321
CR590Q60S,engajamento_tarefas_criativas,0.7029212310902452,0.13125047694441083
CR590Q51S,engajamento_tarefas_criativas,0.7029212310902452,0.11499698224263695
CR590Q66S,engajamento_tarefas_criativas,0.7039645279081899,0.15626152263773796
CR590Q39S,engajamento_tarefas_criativas,0.7047470005216484,0.11689105245414476
CR590Q64TT,engajamento_tarefas_criativas,0.7057902973395931,91998345.36361349
CR590Q54S,engajamento_tarefas_criativas,0.7065727699530516,0.059904
CR590Q53S,engajamento_tarefas_criativas,0.7089201877934272,0.06423591038141854
CR590Q64S,engajamento_tarefas_criativas,0.7117892540427752,0.14649659097889073
HOMEPOS,recursos_domesticos,0.0,0.9095411707988786
