algorithm,k,silhouette,calinski_harabasz,davies_bouldin,coverage,n_groups,notes,aic,bic,ari_mean,ari_std,jaccard_mean,jaccard_std,stability_mean,bootstrap_cluster_count_mean,bootstrap_noise_rate_mean,stability_norm_input,silhouette_norm,calinski_norm,davies_norm,stability_norm,cluster_score
spectral,5,0.0839597327716624,56.01332698895323,3.7760706209325314,1.0,5.0,,,,,,,,,,,,0.39038940807984573,0.3218652351856717,0.7181018045009995,0.0,0.07377459878593816
spectral,6,-0.10962759547638107,50.034990849474106,3.248365608434366,1.0,6.0,,,,,,,,,,,,0.0,0.24190233257128502,0.823917035052632,0.0,-0.0752070887436378
spectral,7,-0.10470689689083883,47.819252785157076,2.9949119287760753,1.0,7.0,,,,,,,,,,,,0.00992311131897955,0.21226585129584283,0.8747394811390143,0.0,-0.0857808185159897
spectral,8,-0.08240691642952355,50.405114011356005,3.173155307790225,1.0,8.0,,,,,,,,,,,,0.05489339037221598,0.24685289434271962,0.838998179089605,0.0,-0.06001113088323201
spectral,9,-0.07891799177536034,51.21116983135289,2.991030117831022,1.0,9.0,,,,,,,,,,,,0.06192917749165376,0.2576342491431853,0.8755178605562651,0.0,-0.06122207600730657
spectral,10,-0.03983339851335069,50.78545935557519,3.0666616078980904,1.0,10.0,,,,,,,,,,,,0.14074741093019333,0.25194018234561266,0.8603522597587208,0.0,-0.036440579215627586
birch,2,0.3862550392503515,97.71124753249657,3.392696390549647,1.0,2.0,,,,0.1206159194575448,0.15106521191762365,0.8847320145583071,0.04631439126685521,0.7225199871435397,2.0,0.0,0.5026739670079259,1.0,0.8795934528459617,0.7949758754587027,1.0,0.7066723092503869
birch,3,0.19682166528970774,95.29794248307778,4.221692996397777,1.0,3.0,,,,,,,,,,,,0.6179874819269778,0.8473144253467993,0.6287457565536909,0.0,0.2605472661643996
birch,4,0.1991020561104891,91.99272466253386,3.8987454166543625,1.0,4.0,,,,,,,,,,,,0.6225861322145364,0.8031056681713428,0.6935030959711557,0.0,0.24337150890295617
birch,5,0.1459178262644634,89.92283109942608,3.32940467168181,1.0,5.0,,,,,,,,,,,,0.5153344840995866,0.7754199219122918,0.8076671095106676,0.0,0.18853426318573424
birch,6,0.14874679778242875,86.12944567964067,3.1839810852772206,1.0,6.0,,,,,,,,,,,,0.5210394056270854,0.7246817061572367,0.8368273978509274,0.0,0.17572405324193385
